DUR,CENS,AGE,ED,WHITE,LOCRAT
1424,1,26,14,0,4
49,0,32,12,0,2
63,0,22,12,0,5
546,0,21,12,0,2
231,1,27,16,1,4
140,0,19,12,1,5
364,0,21,12,1,2
511,0,22,13,0,2
343,0,24,16,0,3
387,1,26,15,0,2
185,1,22,12,0,2
7,0,22,12,1,3
420,0,19,12,0,2
98,0,26,14,0,2
1073,1,26,19,1,1
70,0,20,11,1,4
265,1,22,12,1,5
63,0,28,12,1,2
119,0,19,12,0,3
560,0,22,12,0,3
322,0,22,12,0,2
21,0,25,13,0,3
80,1,23,12,1,3
168,0,25,16,1,2
60,1,24,11,0,4
42,0,20,11,0,1
91,0,23,12,0,3
82,1,22,12,1,3
84,0,27,12,0,2
28,0,23,13,1,3
147,0,20,11,1,2
1185,1,32,11,1,2
224,0,19,11,0,3
1017,1,20,12,0,2
210,0,22,12,0,4
574,0,28,13,0,2
128,1,26,14,0,3
168,0,22,12,0,3
49,0,21,13,0,4
119,0,20,11,1,2
434,0,17,9,0,2
644,0,28,12,1,2
322,0,21,11,0,6
336,0,27,12,1,5
14,0,22,12,1,4
14,0,21,12,1,3
585,1,27,16,1,2
371,0,23,14,0,3
119,0,19,11,0,3
56,0,19,10,0,2
1253,0,27,17,1,3
49,0,21,12,1,5
686,0,25,13,0,3
35,0,20,11,0,6
28,0,22,12,1,4
372,1,23,12,1,6
14,0,18,9,1,2
91,0,21,12,0,4
693,1,25,12,0,3
42,0,20,10,0,4
56,0,23,11,0,4
126,0,22,12,1,4
196,0,17,12,0,2
1044,1,23,16,1,2
98,0,19,10,0,4
1209,1,25,9,0,4
56,0,25,16,1,2
238,0,25,17,1,2
876,1,20,12,0,2
21,0,30,18,0,2
182,0,25,14,0,2
462,0,20,10,1,6
70,0,22,12,1,4
140,0,22,12,1,5
602,0,24,12,1,5
133,0,19,12,0,3
996,1,29,16,1,2
1408,1,27,12,1,2
98,0,29,12,1,4
49,0,29,17,1,2
811,1,26,14,0,3
21,0,26,13,0,3
119,0,25,12,0,3
533,1,25,14,0,3
1057,0,19,11,0,3
175,0,28,15,1,4
84,0,19,8,0,4
42,0,20,12,0,5
168,0,20,12,1,4
63,0,19,7,1,4
56,0,21,12,1,5
175,0,19,12,1,3
168,0,21,13,0,3
315,0,19,12,1,6
191,1,29,16,1,3
765,1,25,16,1,6
42,0,22,10,0,3
497,0,20,12,0,2
481,1,23,11,0,3
259,0,24,15,0,3
392,0,24,12,0,2
14,0,18,11,0,2
112,0,23,11,0,4
245,0,23,14,0,5
140,0,21,9,1,6
419,1,23,12,0,4
266,0,22,10,1,4
4,1,24,11,0,6
119,0,28,12,0,3
105,1,23,11,1,5
511,0,19,12,1,3
987,0,23,16,1,5
35,0,22,12,1,3
1078,0,19,12,0,3
816,1,21,12,0,3
217,0,21,13,1,3
203,0,29,16,1,1
133,0,20,12,0,3
399,0,20,12,1,2
514,1,26,16,1,3
